0,1,2,sentence,target
-0.11891238,0.03138358,0.017608967,ваза 21213 замена подшипник ступица нива,0
3.910442,0.01466306,-0.06609137,ваза 2107 оптом сочи сравнить цена купить потребительский товар,0
1.5538119,0.021333834,-0.0266903,купить ступица лада калина2 трансмиссия переходный ступица цена замена тюнинг,0
-7.069894,-0.0047838227,0.022410491,классика 21010 21074,0
-0.22675341,0.07226952,0.03163186,ступица нива замена подшипник свой рука,0
-5.957151,0.00403739,0.004634412,ваза 2110,0
0.64546436,0.035054497,0.05445156,обзор подшипник полуось ваза 2101 07 2121 2123,0
-1.9493719,-0.017941015,0.008139509,купить подшипник ступица fag страница 23,0
4.924266,-0.008095648,0.027024243,horsepowers автомобильный интернет портал отзыв владелец ваза 2121 нива 2007 год,0
-0.3274372,-0.046299618,0.0007766518,новость сообщение официальный группа вконтакте торговый компания 33 sport магазин тольятти,0
-2.2633598,0.0036560749,0.016029133,инструкция замена подшипник передний ступица ивеко дейли,0
-5.7030473,-0.013157009,0.013420476,ступица olx страница 80,0
-1.741779,-0.012182526,0.00083774014,маааленький проблёмкий бортжурнал автокам 2160 1994 год drive2,0
-5.5322804,-0.031703718,-0.014130421,разгрузить полуось нива 24 шлиц 765,0
-5.9056644,-0.00615698,-0.023294147,прошивка нива 9 7 скачать файлообменник,0
-4.1575933,-0.040896475,0.018585682,страница 6 раздел каталог подвеска,0
-4.142368,0.0065397634,-0.013450057,продать нива 2121,0
-8.046417,-0.023115382,-0.003287468,рекомендация проведение независимый экспертиза осаго,0
2.608994,-0.033747554,-0.0741115,втулка подшипник омск сравнить цена поставщик промышленный товар,0
-5.549847,0.0033893734,0.006249212,шеврол блейзер елабуга руководство эксплуатация инструкция совет,0
-1.8000182,-0.017734775,0.017487984,привод шрусый пыльник шрусый страница 3,0
10.944159,-0.104101986,0.02705593,автомобиль маз калининград интернет магазин компания стоимость каталог купить автомобиль маз цена сайт propartner,0
6.7074766,0.019202366,-0.06849428,ваза 2103 украина сравнить цена купить потребительский товар prom страница 86,0
